8220-3810,8220,TRI-CITIES ACADEMIC BUILDING,900,057A0,,,,CC0021
8410-1004,8410,TRI-CITIES CAMPUS: KEY CARD UPGRADE & SAFETY ALARM NOT,900,062A3,,,,CC0021
5604-0018,5604,COMMERCIALIZATION GAP FUND 2020 ZHANG,01A,14801,PG00011825,,,CC0057
5604-0017,5604,OC SPECIAL GRANT - X ZHANG,01A,14801,PG00005323,,,CC0057
5604-0016,5604,COMMERCIALIZATION GAP FUND - X ZHANG,01A,14801,PG00005110,,,CC0057
5604-1102,5604,SALARY ACCRUAL - BIRGITTE AHRING,06B,00113,PG00005257,,,CC0057
5604-9903,5604,F&A - HANWU LEI,08R,14802,PG00005268,,,CC0057
